Date,error_bull,error_bear,min_error,argmin_regime,gap
2011-07-06,0.0028984083,0.0041796723,0.0028984083,bull,0.001281264
2011-07-07,0.00286206,0.0041336864,0.00286206,bull,0.0012716264
2011-07-08,0.002851275,0.004086823,0.002851275,bull,0.0012355482
2011-07-11,0.0026858612,0.0041479208,0.0026858612,bull,0.0014620596
2011-07-12,0.0026593818,0.0039526825,0.0026593818,bull,0.0012933007
2011-07-13,0.0024961496,0.003884531,0.0024961496,bull,0.0013883815
2011-07-14,0.0022935865,0.00399969,0.0022935865,bull,0.0017061036
2011-07-15,0.002328761,0.0037528828,0.002328761,bull,0.0014241219
2011-07-18,0.002177079,0.0039064595,0.002177079,bull,0.0017293806
2011-07-19,0.002201072,0.0037253432,0.002201072,bull,0.0015242712
2011-07-20,0.0021241328,0.0037122604,0.0021241328,bull,0.0015881276
2011-07-21,0.0020670656,0.0038112556,0.0020670656,bull,0.00174419
2011-07-22,0.0022665863,0.0037311881,0.0022665863,bull,0.0014646018
2011-07-25,0.0022600733,0.003914836,0.0022600733,bull,0.0016547625
2011-07-26,0.0025315052,0.0037106066,0.0025315052,bull,0.0011791014
2011-07-27,0.0028828396,0.0038979119,0.0028828396,bull,0.0010150722
2011-07-28,0.0032221868,0.003978742,0.0032221868,bull,0.000756555
2011-07-29,0.0036674053,0.004014538,0.0036674053,bull,0.0003471328
2011-08-01,0.0038621125,0.004209894,0.0038621125,bull,0.0003477817
2011-08-02,0.004354077,0.0044165156,0.004354077,bull,6.243866e-05
2011-08-03,0.0046325345,0.0045186672,0.0045186672,bear,0.00011386722
2011-08-04,0.005062095,0.005081044,0.005062095,bull,1.8949155e-05
2011-08-05,0.0052806316,0.0052287723,0.0052287723,bear,5.18593e-05
2011-08-08,0.006293088,0.0067794197,0.006293088,bull,0.00048633153
2011-08-09,0.006640397,0.0071362993,0.006640397,bull,0.00049590226
2011-08-10,0.0070393933,0.008015369,0.0070393933,bull,0.00097597577
2011-08-11,0.007093971,0.008288777,0.007093971,bull,0.0011948063
2011-08-12,0.0068925344,0.008716064,0.0068925344,bull,0.0018235291
2011-08-15,0.0067190058,0.00890336,0.0067190058,bull,0.0021843542
2011-08-16,0.0062707504,0.008983837,0.0062707504,bull,0.002713087
2011-08-17,0.0061124396,0.009061378,0.0061124396,bull,0.0029489389
2011-08-18,0.006196386,0.009440262,0.006196386,bull,0.0032438757
2011-08-19,0.0063374224,0.009777139,0.0063374224,bull,0.0034397165
2011-08-22,0.0061251046,0.0100478865,0.0061251046,bull,0.003922782
2011-08-23,0.0062447577,0.010011847,0.0062447577,bull,0.0037670895
2011-08-24,0.0061695087,0.010037106,0.0061695087,bull,0.0038675978
2011-08-25,0.0064792978,0.009914646,0.0064792978,bull,0.0034353482
2011-08-26,0.0065815146,0.009634661,0.0065815146,bull,0.003053146
2011-08-29,0.0067415466,0.0094269095,0.0067415466,bull,0.002685363
2011-08-30,0.007214567,0.008805686,0.007214567,bull,0.0015911185
2011-08-31,0.0073476424,0.008724151,0.0073476424,bull,0.0013765087
2011-09-01,0.0073359925,0.008028929,0.0073359925,bull,0.0006929366
2011-09-02,0.0073120142,0.007718941,0.0073120142,bull,0.00040692696
2011-09-06,0.0073360535,0.007598323,0.0073360535,bull,0.00026226928
2011-09-07,0.0075196656,0.0071157324,0.0071157324,bear,0.00040393323
2011-09-08,0.0073270965,0.007284981,0.007284981,bear,4.2115338e-05
2011-09-09,0.0073284195,0.007032265,0.007032265,bear,0.00029615453
2011-09-12,0.007439622,0.006956452,0.006956452,bear,0.00048317015
2011-09-13,0.007605701,0.006798213,0.006798213,bear,0.00080748834
2011-09-14,0.007939717,0.006214375,0.006214375,bear,0.0017253417
